member,model,num_train_epochs,per_device_train_batch_size,learning_rate,weight_decay,warmup_steps,lr_scheduler_type,gradient_accumulation_steps,max_seq_length,seed,fp16,accuracy,precision,recall,f1_macro,notes
Morales-random,bert-base-uncased,2.0,32.0,3.58895e-05,0.024185,,linear,1.0,128.0,42,True,0.6818,0.6867,0.6771,0.6723,"Random search trial 1. Params: {'learning_rate': 3.58895e-05, 'per_device_train_batch_size': 32, 'weight_decay': 0.024185, 'num_train_epochs': 2}"
Morales-random,bert-base-uncased,4.0,32.0,3.9489e-05,0.084922,,linear,1.0,128.0,42,True,0.693,0.6768,0.6866,0.6914,"Random search trial 6. Params: {'learning_rate': 3.9489e-05, 'per_device_train_batch_size': 32, 'weight_decay': 0.084922, 'num_train_epochs': 4}"
Morales-random,bert-base-uncased,4.0,32.0,3.92609e-05,0.008414,,linear,1.0,128.0,42,True,0.6866,0.6808,0.66,0.677,"Random search trial 3. Params: {'learning_rate': 3.92609e-05, 'per_device_train_batch_size': 32, 'weight_decay': 0.008414, 'num_train_epochs': 4}"
Morales,tfidf-logreg,,,,,,,,,42,False,0.6452,0.6457,0.6439,0.6427,"TF-IDF + LogReg baseline with GridSearchCV. Best params: {'C': 4.0, 'class_weight': {-1: 1.2, 0: 0.8, 1: 1.2}, 'max_iter': 1000, 'penalty': 'l2'}"
Morales-grid,bert-base-uncased,3.0,16.0,3e-05,0.0,,linear,1.0,128.0,42,True,0.6779,0.6822,0.6749,0.6864,"Grid search trial 3. Params: {'learning_rate': 3e-05, 'per_device_train_batch_size': 16, 'weight_decay': 0.0, 'num_train_epochs': 3}"
Morales-grid,bert-base-uncased,2.0,8.0,3e-05,0.0,,linear,1.0,128.0,42,True,0.6732,0.6717,0.6545,0.6635,"Grid search trial 1. Params: {'learning_rate': 3e-05, 'per_device_train_batch_size': 8, 'weight_decay': 0.0, 'num_train_epochs': 2}"
Morales-random,bert-base-uncased,2.0,16.0,3.95588e-05,0.022427,,linear,1.0,128.0,42,True,0.6815,0.6815,0.6967,0.6878,"Random search trial 5. Params: {'learning_rate': 3.95588e-05, 'per_device_train_batch_size': 16, 'weight_decay': 0.022427, 'num_train_epochs': 2}"
Morales,tfidf-logreg,,,,,,,,,42,False,0.6606,0.6534,0.6564,0.6536,"TF-IDF + LogReg baseline with GridSearchCV. Best params: {'C': 2.0, 'class_weight': {-1: 1.2, 0: 0.8, 1: 1.2}, 'max_iter': 1000, 'penalty': 'l1'}"
Morales-random,bert-base-uncased,4.0,16.0,3.01709e-05,0.034921,,linear,1.0,128.0,42,True,0.7006,0.705,0.7012,0.6911,"Random search trial 2. Params: {'learning_rate': 3.01709e-05, 'per_device_train_batch_size': 16, 'weight_decay': 0.034921, 'num_train_epochs': 4}"
Morales-grid,bert-base-uncased,3.0,8.0,3e-05,0.01,,linear,1.0,128.0,42,True,0.6717,0.6821,0.6793,0.6752,"Grid search trial 5. Params: {'learning_rate': 3e-05, 'per_device_train_batch_size': 8, 'weight_decay': 0.01, 'num_train_epochs': 3}"
Morales-grid,bert-base-uncased,2.0,16.0,3e-05,0.0,,linear,1.0,128.0,42,True,0.6841,0.6733,0.6911,0.6847,"Grid search trial 6. Params: {'learning_rate': 3e-05, 'per_device_train_batch_size': 16, 'weight_decay': 0.0, 'num_train_epochs': 2}"
Morales-grid,bert-base-uncased,2.0,16.0,3e-05,0.01,,linear,1.0,128.0,42,True,0.6764,0.6763,0.677,0.6701,"Grid search trial 2. Params: {'learning_rate': 3e-05, 'per_device_train_batch_size': 16, 'weight_decay': 0.01, 'num_train_epochs': 2}"
Morales-random,bert-base-uncased,4.0,8.0,2.79561e-05,0.024399,,linear,1.0,128.0,42,True,0.6897,0.7064,0.697,0.6923,"Random search trial 7. Params: {'learning_rate': 2.79561e-05, 'per_device_train_batch_size': 8, 'weight_decay': 0.024399, 'num_train_epochs': 4}"
Morales-grid,bert-base-uncased,3.0,16.0,3e-05,0.0,,linear,1.0,128.0,42,True,0.6908,0.6832,0.6752,0.6883,"Grid search trial 4. Params: {'learning_rate': 3e-05, 'per_device_train_batch_size': 16, 'weight_decay': 0.0, 'num_train_epochs': 3}"
Morales-random,bert-base-uncased,2.0,12.0,2.30441e-05,0.06635,,linear,1.0,128.0,42,True,0.66,0.6689,0.674,0.6671,"Random search trial 4. Params: {'learning_rate': 2.30441e-05, 'per_device_train_batch_size': 12, 'weight_decay': 0.06635, 'num_train_epochs': 2}"
