member,model,num_train_epochs,per_device_train_batch_size,learning_rate,weight_decay,warmup_steps,lr_scheduler_type,gradient_accumulation_steps,max_seq_length,seed,fp16,accuracy,precision,recall,f1_macro,notes
Dulo-random,bert-base-uncased,3.0,16.0,2.27087e-05,0.08353,,linear,1.0,128.0,42,True,0.6735,0.6645,0.6843,0.681,"Random search trial 3. Params: {'learning_rate': 2.27087e-05, 'per_device_train_batch_size': 16, 'weight_decay': 0.08353, 'num_train_epochs': 3}"
Dulo-grid,bert-base-uncased,3.0,8.0,3e-05,0.0,,linear,1.0,128.0,42,True,0.6706,0.691,0.6852,0.6769,"Grid search trial 2. Params: {'learning_rate': 3e-05, 'per_device_train_batch_size': 8, 'weight_decay': 0.0, 'num_train_epochs': 3}"
Dulo,tfidf-logreg,,,,,,,,,42,False,0.6716,0.6659,0.6653,0.6624,"TF-IDF + LogReg baseline with GridSearchCV. Best params: {'C': 1.0, 'class_weight': {-1: 1.2, 0: 0.8, 1: 1.2}, 'max_iter': 1000, 'penalty': 'l1'}"
Dulo-grid,bert-base-uncased,2.0,16.0,3e-05,0.01,,linear,1.0,128.0,42,True,0.6967,0.6917,0.7,0.6888,"Grid search trial 3. Params: {'learning_rate': 3e-05, 'per_device_train_batch_size': 16, 'weight_decay': 0.01, 'num_train_epochs': 2}"
Dulo-grid,bert-base-uncased,2.0,8.0,3e-05,0.0,,linear,1.0,128.0,42,True,0.6652,0.6797,0.6655,0.6698,"Grid search trial 5. Params: {'learning_rate': 3e-05, 'per_device_train_batch_size': 8, 'weight_decay': 0.0, 'num_train_epochs': 2}"
Dulo-grid,bert-base-uncased,2.0,16.0,3e-05,0.01,,linear,1.0,128.0,42,True,0.6765,0.6648,0.6847,0.6756,"Grid search trial 6. Params: {'learning_rate': 3e-05, 'per_device_train_batch_size': 16, 'weight_decay': 0.01, 'num_train_epochs': 2}"
Dulo-random,bert-base-uncased,4.0,8.0,4.07281e-05,0.038674,,linear,1.0,128.0,42,True,0.6827,0.6857,0.6775,0.6914,"Random search trial 5. Params: {'learning_rate': 4.07281e-05, 'per_device_train_batch_size': 8, 'weight_decay': 0.038674, 'num_train_epochs': 4}"
Dulo-grid,bert-base-uncased,3.0,8.0,3e-05,0.0,,linear,1.0,128.0,42,True,0.6745,0.6656,0.6718,0.6712,"Grid search trial 1. Params: {'learning_rate': 3e-05, 'per_device_train_batch_size': 8, 'weight_decay': 0.0, 'num_train_epochs': 3}"
Dulo-random,bert-base-uncased,3.0,32.0,2.43468e-05,0.048945,,linear,1.0,128.0,42,True,0.6894,0.7018,0.705,0.6956,"Random search trial 1. Params: {'learning_rate': 2.43468e-05, 'per_device_train_batch_size': 32, 'weight_decay': 0.048945, 'num_train_epochs': 3}"
Dulo,tfidf-logreg,,,,,,,,,42,False,0.6601,0.6642,0.6505,0.662,"TF-IDF + LogReg baseline with GridSearchCV. Best params: {'C': 4.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l1'}"
Dulo-random,bert-base-uncased,2.0,16.0,2.71291e-05,0.072822,,linear,1.0,128.0,42,True,0.6824,0.684,0.6805,0.6792,"Random search trial 2. Params: {'learning_rate': 2.71291e-05, 'per_device_train_batch_size': 16, 'weight_decay': 0.072822, 'num_train_epochs': 2}"
Dulo-random,bert-base-uncased,3.0,12.0,4.03269e-05,0.001659,,linear,1.0,128.0,42,True,0.6742,0.686,0.6691,0.6808,"Random search trial 4. Params: {'learning_rate': 4.03269e-05, 'per_device_train_batch_size': 12, 'weight_decay': 0.001659, 'num_train_epochs': 3}"
Dulo-grid,bert-base-uncased,3.0,16.0,3e-05,0.0,,linear,1.0,128.0,42,True,0.6667,0.6592,0.6676,0.6728,"Grid search trial 4. Params: {'learning_rate': 3e-05, 'per_device_train_batch_size': 16, 'weight_decay': 0.0, 'num_train_epochs': 3}"
Dulo-random,bert-base-uncased,4.0,16.0,4.77408e-05,0.087734,,linear,1.0,128.0,42,True,0.6832,0.6908,0.6814,0.6794,"Random search trial 6. Params: {'learning_rate': 4.77408e-05, 'per_device_train_batch_size': 16, 'weight_decay': 0.087734, 'num_train_epochs': 4}"
